Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Price_Up,MA10,MA50
2024-08-13 00:00:00-04:00,217.9954546002453,220.8621181746332,217.9954546002453,220.2449951171875,44155300,0.0,0.0,AAPL,1,,
2024-08-14 00:00:00-04:00,219.54820460737923,221.99680001644595,218.6822246024247,220.69287109375,41960600,0.0,0.0,AAPL,1,,
2024-08-15 00:00:00-04:00,223.55956160665437,224.3060872818483,221.72807374055304,223.6790008544922,46414000,0.0,0.0,AAPL,1,,
2024-08-16 00:00:00-04:00,222.88270038911833,225.77922361016536,222.6139468974481,225.00283813476562,44340200,0.0,0.0,AAPL,0,,
2024-08-19 00:00:00-04:00,224.67435623990076,224.94310972106823,222.00676340736013,224.84356689453125,40687800,0.0,0.0,AAPL,1,,
2024-08-20 00:00:00-04:00,224.72413110884563,226.11763957317405,224.4056062095116,225.460693359375,30299000,0.0,0.0,AAPL,0,,
2024-08-21 00:00:00-04:00,225.4706812509204,226.92390949473165,224.00748961035802,225.35122680664062,34765500,0.0,0.0,AAPL,0,,
2024-08-22 00:00:00-04:00,226.7347608131935,227.28221598709214,222.86278176595104,223.4898681640625,43695300,0.0,0.0,AAPL,1,,
2024-08-23 00:00:00-04:00,224.61464290366072,227.16278137803022,223.29080225181497,225.78916931152344,38677300,0.0,0.0,AAPL,1,,
2024-08-26 00:00:00-04:00,225.70955667393454,226.22715209044955,222.85285645674867,226.1276092529297,30602200,0.0,0.0,AAPL,1,224.06818389892578,
2024-08-27 00:00:00-04:00,224.95308352271593,227.7898873326469,223.8482248501023,226.9736785888672,35934600,0.0,0.0,AAPL,0,224.74105224609374,
2024-08-28 00:00:00-04:00,226.86416416696267,228.79517959293358,224.63453544627717,225.4407958984375,38052200,0.0,0.0,AAPL,1,225.2158447265625,
2024-08-29 00:00:00-04:00,229.03407107214645,231.84099956412553,227.819721489883,228.72549438476562,51906300,0.0,0.0,AAPL,0,225.72049407958986,
